ability 	能力;才能;技能
historic	歷史上著名的
prehistoric	史前的
peril		危險
nostril		鼻孔
rim		邊緣
brim		(茶杯)邊緣
grim		嚴厲
trim		修剪
pilgrim		朝聖
rip		裂開
drip		滴下
grip		牢牢抓住
trip		旅行
strip		剝
merit		優點
inherit		繼承
army		軍隊
stormy		暴風雨的
rob		搶劫
throb		跳動;鼓動
apron		圍裙
baron		男爵
matron		婦女
patron		贊助者
drop		一滴;使滴下
dewdrop		露珠
control		控制
self-control	自制
emperor		皇帝
conqueror	征服者
error		錯誤
terror		恐怖
horror		恐怖
rot		腐爛
trot		快步走
parrot		鸚鵡
row		列;排
brow		眉毛;額頭
grow		成長
eyebrow		眉毛
overthrow	推翻
arrow		箭
furrow		犁溝;皺紋
ferry		渡船
marry		結婚
quarry		採石場
disperse	散開;傳播
remorse		後悔
coarse		粗糙的
hoarse		沙啞的
curse		詛咒
discourse	演講;談話
intercourse	交流
verse		詩
adverse		相反的;反對的
converse	交談
reverse		顛倒
traverse	橫越
universe	宇宙
harsh		殘酷的
marsh		沼澤
burst		爆炸
thirst		渴
quarto		四開
hitherto	至今
thitherto	直到那時
dirty		髒的
hearty		誠懇的
liberty		自由
poverty		貧窮
property	財產
rub		磨擦
scrub		用力擦洗
shrub		矮樹
rug		小地毯
drug		藥物
shrug		聳肩
carve		雕刻
curve		使彎曲;曲線
nerve		神經
serve		為…服務
deserve		應該得到
observe		觀察;遵守
reserve		保留;保存
preserve	保存
refusal		拒絕
universal	普遍的;全世界的
ascribe		把…歸因於
describe	描述
prescribe	規定
satisfy		使滿意
dissatisfy	使不滿意
disposal	處理
proposal	提案
nausea		噁心
oversea		在海外的
versed		熟練的
accursed	可惡的
composed	鎮靜的
disposed	高興的
addressee	收信人
addresser	發信人
foresee		預知
counsel		商議
damsel		少女
lessen		一課;課業
loosen		鬆開
eraser		橡皮擦
miser		守財奴
closet		壁櫥
sunset		日落
upset		打翻
shed		流出
distinguished	著名的
oases		綠洲(複數)
Asia		亞洲
Russia		俄羅斯
basic		基本的
classic		古典的
fossil		化石	
utensil		器皿
sin		罪
basin		盆;臉盆
raisin		葡萄乾
sip		啜飲
gossip		聊天
basis		基礎
oasis		綠洲
crisis		危機
analysis	分析
emphasis	強調
synthesis	綜合
hunky		嘶啞的
risky		危險的
whisky		威士忌酒
isle		小島
aisle		通道
ski		滑雪;滑雪板
skim		掠過
skip		跳躍
sly		狡滑的
previously	預先地
simultaneously	同時地
tremendously	恐怖地;驚人地
unanimously	全體一致地
sob		鳴咽
sod		草皮
soil		土壤
podsol		灰壤
parasol		陽傘
bosom		胸;內心
ransom		贖金
mason		泥水匠
parson		牧師
person		人
poison		毒藥
prison		監獄
imprison	監禁
crimson		深紅色的
treason		背叛;叛國
comparison	比較
pressor		加壓
sponsor		贊助人
professor	教授
predecessor	前任者
successor	繼承者;後任者
embassy		大使館
pussy		少女;貓咪
dusty		滿是灰塵的
hasty		匆忙的
lusty		強壯的
misty		有霧的
nasty		不愉快的
rusty		生銹的
frosty		結霜的
dynasty		朝代
majesty		王族
modesty		謙遜
thirsty		渴的
ensue		接著發生
issue		發行
tissue		面紙;衛生紙
pursue		追趕
census		戶口普查
versus		與…相對
stab		刺
stag		雄鹿
tab		拉環
fatal		命運的
metal		金屬
petal		花瓣
vital		生命的;重要的
brutal		殘忍的
recital		背誦;朗誦
horizontal	水平的
postal		郵政的
crystal		水晶
Oriental	東方
dental		牙齒的
incidental	偶然的;意外的
mental		精神的;心理的
fundamental	根本的
sentimental	感傷的
mortal		會死的
immortal	不朽的
Satan		撒旦;魔鬼
Puritan		清教徒
cosmopolitan	世界性的
tap		輕拍
wiretap		竊聽
tan		曬黑
fetch		拿來
sketch		素描
Scotch		蘇格蘭人;蘇格蘭語
hatch		孵化
latch		門閂
scratch		抓
snatch		搶奪
dispatch	派遣
itch		發癢
ditch		溝
pitch		投;擲
witch		巫婆
stitch		一針;縫紉
stretch		伸長;延長
wretch		可憐的人;卑鄙的人
Dutch		荷蘭人;荷蘭語
clutch		抓牢
assorted	各種的
devoted		忠實的
pointed		尖的
situated	位於;座落於
conceited	自誇的;自負的
contented	滿足的
unprecedented	無前例的
unexpected	出乎意料的
exhausted	耗盡的
complicated	複雜的
guarantee	保證
committee	委員會
item		項目
stem		莖;船首
soften		使變柔軟
shorten		使變短
rotten		腐爛的
threaten	威脅
kindergarten	幼稚園
fasten		繫牢
glisten		閃耀
hasten		急忙
lighte		變亮;變輕
tighten		綁緊
brighten	變明亮;使愉快
enlighten	啟發
straighten	使直;使正
voter		選舉人;投票人
loiter		閒逛
waiter		男服務生
writer		作者
chapter		(書藉)章節
specter		幽靈
hereafter	今後
interpreter	解說者
hunter		獵人
painter		畫家
counter		櫃台
encounter	遭遇
carpenter	木匠
porter		挑夫
charter		租;包租
alter		改變
filter		過濾
laughter	笑聲
slaughter	屠殺
meter		公尺
diameter	直徑
barometer	氣壓計
thermometer	溫度計
cluster		串;束;聚集
minister	部長
administer	管理
monster		怪物
oyster		牡蠣
register	註冊;登記
youngster	年輕人
Easter		復活節
master		主人
plaster		灰泥
disaster	災難
foster		養育;培養
poster		海報
rooster		雄雞
matter		事情
patter		發啪嗒聲
chatter		喋喋不休
clatter		發出嘩啦聲
flatter		諂媚
scatter		散播
shatter		粉碎
litter		廢棄物
glitter		閃爍
utter		說出;完全的
gutter		排水溝
mutter		喃喃自語
flutter		飄揚
bathe		沐浴
soothe		撫慰
rhythm		節奏
algorithm	演算法
healthen	異教徒的
lengthen	加長;變長
strengthen	加強
thy		你的(古語)
sympathy	同情
earthly		地球的;世俗的
monthly		每月的
healthy		健康的
wealthy		富有的
worthy		值得的
unworthy	不值得的
trustworthy	可信賴的
attic		閣樓
poetic		詩意的
patriotic	愛國的
politic		政治的
critic		批評家
athletic	運動的
energetic	精力充沛的
arithmetic	算術
democratic	民主的
emphatic	強調
automatic	自動的
diplomatic	外交上的
dramatic	戲劇的
systematic	有系統的
fanatic		狂熱的;入迷的
lunatic		狂暴的
elastic		有彈性的
fantastic	空想的
enthusiastic	熱心的
Atlantic	大西洋
gigantic	巨大的
romantic	浪漫的
arctic		北極的
antarctic	南極的
pathetic	可憐的
sympathetic	同情的
victim		受害者;犧性者
verbatim	逐字翻譯
tip		尖端
fingertip	指尖
altar		祭壇
guitar		吉他
tin		錫
tip		陷阱
Latin		拉丁語;拉丁人
satin		緞
beetle		甲蟲
mantle		斗篷
startle		驚嚇
subtle		微妙的
turtle		海龜
bustle		騷亂;嘈雜
rustle		沙沙作響
thistle		薊(蘇格蘭國花)		
wrestle		摔角
little		小的;稀少的
kettle		水壺
settle		定居;解決
rettle		發出嘎嘎聲
title		標題
entitle		命名
costly		昂貴的
partly		部份地
softly		柔和地
strictly	嚴格地
promptly	敏捷地
abruptly	突然地
gently		溫和地
evidently	明顯地
presently	不久
violently	激烈地
apparently	顯然地
consequently	因此
toe		腳趾
ton		噸
pistol		手槍
capitol		美國國會大廈
accustom	使習慣
symptom		症狀
mutton		羊肉
wanton		淘氣的;放蕩的
motor		發動機
tutor		家庭教師;輔導
editor		編輯
pastor		牧師
elevator	電梯
equator		赤道
orator		演說家
spectator	觀眾
conductor	領導者;指揮
inspector	檢查員
monitor		監視器;班長
inventor	發明家
ancestor	祖先
proprietor	業主;所有人
sculptor	雕刻家
actor		男演員
factor		因素
tractor		牽引機
operator	接線生
refrigerator	電冰箱
tow		拖;拉
bestow		贈與
extra		額外的
orchestra	交響樂團
entry		進入
poetry		詩歌
sultry		悶熱的
poultry		家禽
industry	工業
ministry	內閣;部
chemistry	化學
geometry	幾何學
symmetry	對稱
petty		瑣碎的
witty		機智的
tub		桶
tug		用力拉或拖
statue		雕像
virtue		美德
datum		資料
ultimatum	最後通碟
unequal		不相等的
gradual		逐漸的
individual	個人的;個別的
annual		每年的
manual		手工的;說明書
continual	連續的
casual		偶然的
visual		視覺的
usual		通常的
unusual		異常的
actual		實際的
effectual	有效的
punctual	準時的
mutual		相互的
intellectual	知識份子
habitual	習慣的
perpetual	永久的
spiritual	精神的
cube		立方體
tube		管
sauce		調味醬
deduce		推論
induce		引誘	
reduce		減少
introduce	介紹
reproduce	再生
cough		咳嗽
tough		堅固的
thorough	完全的
couth		文雅的
uncouth		笨拙的
couch		長條椅
vouch		保證
crouch		蹲伏
inasmuch	因為
insomuch	由於
luck		幸運
suck		吸
tuck		塞入
pluck		摘;拔
by-product	副產品
conduct		引導
instruct	教導
construct	建造
rude		粗魯的
intrude		強迫;闖入
allude		暗示
solitude	孤獨
longitude	經度
exclude		排除
include		包括
seclude		隱居
conclude	結束
aptitude	適合
attitude	態度
gratitude	感謝
ingratitude	忘恩負義
latitude	緯度
multitude	群眾
fuel		燃料
cruel		殘忍的
antiquer	古物收藏家
conquer		征服
banquet		宴會
bouquet		花束
cuff		袖口
puff		吹出
snuff		熄滅(蠟燭等)
stuff		材料
huge		巨大的
gauge		標準規格
deluge		洪水
refuge		避難所
fluid		流體
liquid		液體
squid		烏賊
ruin		滅亡
penguin		企鵝
quit		辭職;放棄
acquit		宣告無罪
biscuit		餅乾
pursuit		追趕
guilt		犯罪
quilt		被子
duke		公爵
rebuke		指責
formula		方式;公式
peninsula	半島
mula		騾
ridicule	嘲笑
schedule	表;預定
gulf		海灣
engulf		吞沒
bulk		巨大;體積
hulk		廢船
bull		公牛
dull		鈍的;暗的
lull		間歇;安靜
skull		頭蓋骨
adult		成人
tumult		吵鬧
vault		拱頂;地窖
assault		攻擊
insult		侮辱
consult		與…商量
dumb		啞的
crumb		麵包屑
thumb		拇指
benumb		凍僵
plume		羽毛
volume		書藉;卷;容積;音量
costume		服裝
perfume		香水
assume		假定
resume		重新開始
presume		推測
consume		消費
dump		垃報場
lump		塊;堆
pump		幫浦
plump		肥胖的
stump		殘株(樹林砍下後)
fund		基金
bound		捆;綁
found		發現
hound		獵犬
mound		土堆
pound		英磅
wound		受傷
abound		豐富
resound		使回響
surround	圍繞
compound	混合物
confound	使混淆
profound	深遠的
background	背景
underground	地下的
tune		曲調
misfortune	不幸
abrupt		突然的
bankrupt	破產的
corrupt		腐敗的
interrupt	打斷
buoy		浮標
lifebuoy	救生圈
occupy		佔領
preoccupy	使全神貫注
blunt		鈍的
haunt		使困擾
amount		總計;數量
discount	打折扣
mixture		混合
manufacture	製造
structure	結構
scripture	經文
sculpture	雕像
miniature	小型物;小畫像
stature		身高
signature	簽名
nurture		養育
torture		痛苦
departure	出發
gesture		手勢
moisture	濕氣
pasture		牧場
capture		捕獲
repture		著迷
feature		特徵
creature	生物
literature	文學
temperature	溫度
lecture		演講
prefecture	縣;府
architecture	建築學
mature		成熟的
immature	未成熟的
premature	過早的
comfiture	蜜餞
expenditure	消費
culture		文化
agriculture	農業
venture		冒險
adventure	冒險
disturb		打擾
suburb		郊區
turf		草皮
astroturf	人工草皮
lurf		潛伏
Turk		土耳其人
sunburn		曬傷
overturn	推翻;顛覆
mourn		哀悼
adjourn		休會
sojourn		逗留
bury		埋葬
fury		憤怒
jury		陪審團
century		世紀
injury		傷害
luxury		奢侈
muse		沈思
amuse		使歡樂
abuse		濫用
accuse		指責
peruse		細讀
pause		暫停
clause		子句
applause	掌聲;稱讚
confuse		迷惑
diffuse		傳播
profuse		大方的
rouse		叫醒
arouse		喚醒
carouse		狂歡
schoolhouse	校舍
warehouse	倉庫
cusk		鱈魚
dusk		幽暗;黃昏
tusk		長牙;獠牙
gush		噴;湧
hush		使安靜
crush		壓碎
blush		使臉紅
flush		臉紅
fuss		忙亂;騷動
discuss		討論
bust		半身像
gust		一陣強風
lust		渴望
rust		生鏽
disgust		憎惡
exhaust		用盡
busy		忙碌的
jealousy	嫉妒的
adjust		調整;調節
unjust		不公平的
crust		表皮;麵包皮
thrust		刺
distrust	不信任
mute		靜音的;無聲的
brute		獸;畜生
dispute		爭論
minute		分鐘
route		路;路線
salute		問候;打招呼
acute		尖銳的
execute		執行
persecute	迫害
presecute	起訴
absolute	絕對的
resolute	堅決的
irresolute	優柔寡斷的
constitute	組成
destitute	缺乏的
institute	學會;研究所
substitute	替代
tribute		貢物
contribute	貢獻;捐獻
distribute	分配
auto		汽車
Pluto		冥王星
youth		青少年時代
buzz		嗡嗡叫
fuzz		細毛
naval		海軍的
festival	節日
interval	間隔
medieval	中世紀的
removal		除去
approval	承認;同意
rival		對手
arrival		到達
revival		復活
survival	倖存者
van		箱型車
caravan		商隊
level		水平;高度;程度
novel		新奇的
revel		狂歡
shovel		鏟子
gravel		碎石
marvel		驚訝
even		甚至
oven		烤箱
raven		大烏鴉
uneven		不平坦的
waver		搖擺
observer	觀察員
fever		發燒
sever		切斷
forever		永遠
liver		肝
deliver		遞送
driver		司機
quiver		顫抖
shiver		發抖
receiver	收受人;聽筒
hover		盤旋
clover		紅花草
moreover	此外
recover		恢復
uncover		暴露;揭去蓋子
covet		貪圖
velvet		天鵝絨
vex		使生氣
convex		凸面的
convey		運送
survey		調查;測量
via		經由
trivia		瑣事
gravid		懷孕的
vivid		生動的
evil		邪惡的
devil		魔鬼
civil		市民的
review		復習;回顧
interview	會談;面試
void		空的;無效的
avoid		避免的
devoid		缺乏的
favor		贊成;有利於
flavor		風味
endeavor	努力
vow		誓言
avow		聲明
antiwar		反戰的
tug-of-war	拔河
inwards		向內地
outwards	向外地
sway		搖動
anyway		無論如何
doorway		門口
gateway		入口處
halfway		中途地
highway		公路
stairway	樓梯
bowel		腸
jewel		寶石
vowel		母音
bower		涼亭
lower		降低
widower		鰥夫
drawer		抽屜
wig		假髮
twig		小樹枝
win		獲勝
twin		雙胞胎
woe		悲哀
wok		鐵鍋
woo		求婚
loyal		忠誠的
royal		王室的
payee		收款人
employee	僱員;員工
buyer		購買者
lawyer		律師
player		選手;演員;角色
employer	僱主
enzyme		酵素
rhyme		韻;押韻
major		市長
surveyor	測量員
analyse		分析
paralyse	使麻痺
type		類型;打字
tyre		輪胎
zag		急轉
zigzag		z字形的
blazon		裝飾
horizon		地平線
dazzle		使目眩
drizzle		下毛毛雨
puzzle		拼圖;困惑
dizzy		暈眩的
fuzzy		模糊不清的
snazzy		一流的










